,full_reference_code,Defect,Category,section_name,section_number,sub_section_name,sub_section_number,topic_name,topic_number,sub_topic_name,sub_topic_number,point
54,1.1.11 (a),(a) Brake pipe is at imminent risk of failure or fracture,Dangerous,Brakes,1,Condition and operation,1,Rigid brake pipes,11.0,,,(a)
55,1.1.11 (b) (i),(b) Leaking brake pipe or connection: (i) on an air brake system,Major,Brakes,1,Condition and operation,1,Rigid brake pipes,11.0,,,(b) (i)
56,1.1.11 (b) (ii),(b) Leaking brake pipe or connection: (ii) on a hydraulic system,Dangerous,Brakes,1,Condition and operation,1,Rigid brake pipes,11.0,,,(b) (ii)
57,1.1.11 (c),(c) Brake pipe damaged or excessively corroded,Major,Brakes,1,Condition and operation,1,Rigid brake pipes,11.0,,,(c)
58,1.1.11 (d) (i),(d) Brake pipe: (i) inadequately clipped or supported,Minor,Brakes,1,Condition and operation,1,Rigid brake pipes,11.0,,,(d) (i)
59,1.1.11 (d) (ii),(d) Brake pipe: (ii) likely to become detached or damaged,Major,Brakes,1,Condition and operation,1,Rigid brake pipes,11.0,,,(d) (ii)
60,1.1.12 (a),(a) Brake hose damaged and likely to fail,Dangerous,Brakes,1,Condition and operation,1,Flexible brake hoses,12.0,,,(a)
61,1.1.12 (b) (i),"(b) Flexible brake hose: (i) slightly damaged, chafed or twisted",Minor,Brakes,1,Condition and operation,1,Flexible brake hoses,12.0,,,(b) (i)
62,1.1.12 (b) (ii),"(b) Flexible brake hose: (ii) excessively damaged, deteriorated, chafed, twisted or stretched",Major,Brakes,1,Condition and operation,1,Flexible brake hoses,12.0,,,(b) (ii)
63,1.1.12 (c) (i),(c) Brake hoses or connections leaking on: (i) air brake systems,Major,Brakes,1,Condition and operation,1,Flexible brake hoses,12.0,,,(c) (i)
64,1.1.12 (c) (ii),(c) Brake hoses or connections leaking on: (ii) hydraulic systems,Dangerous,Brakes,1,Condition and operation,1,Flexible brake hoses,12.0,,,(c) (ii)
65,1.1.12 (d),(d) Brake hose bulging under pressure,Major,Brakes,1,Condition and operation,1,Flexible brake hoses,12.0,,,(d)
66,1.1.12 (e),(e) Brake hose porous,Major,Brakes,1,Condition and operation,1,Flexible brake hoses,12.0,,,(e)
67,1.1.12 (f) (i),(f) Brake hose ferrules: (i) excessively corroded,Major,Brakes,1,Condition and operation,1,Flexible brake hoses,12.0,,,(f) (i)
68,1.1.12 (f) (ii),(f) Brake hose ferrules: (ii) excessively corroded and likely to fail,Dangerous,Brakes,1,Condition and operation,1,Flexible brake hoses,12.0,,,(f) (ii)
69,1.1.13 (a) (i),(a) Brake lining or pad: (i) worn down to wear indicator,Major,Brakes,1,Condition and operation,1,Brake linings and pads,13.0,,,(a) (i)
70,1.1.13 (a) (ii),(a) Brake lining or pad: (ii) worn below 1.5mm,Dangerous,Brakes,1,Condition and operation,1,Brake linings and pads,13.0,,,(a) (ii)
71,1.1.13 (b),"(b) Brake lining or pad contaminated with oil, grease etc.",Major,Brakes,1,Condition and operation,1,Brake linings and pads,13.0,,,(b)
72,1.1.13 (c),(c) Brake lining or pad missing or incorrectly mounted,Dangerous,Brakes,1,Condition and operation,1,Brake linings and pads,13.0,,,(c)
73,1.1.14 (a) (i),(a) Brake disc or drum: (i) significantly and obviously worn,Major,Brakes,1,Condition and operation,1,Brake discs and drums,14.0,,,(a) (i)
74,1.1.14 (a) (ii),"(a) Brake disc or drum: (ii) insecure, fractured or otherwise likely to fail",Dangerous,Brakes,1,Condition and operation,1,Brake discs and drums,14.0,,,(a) (ii)
75,1.1.14 (b),"(b) Contaminated with oil, grease etc.",Major,Brakes,1,Condition and operation,1,Brake discs and drums,14.0,,,(b)
76,1.1.14 (c),(c) Missing,Dangerous,Brakes,1,Condition and operation,1,Brake discs and drums,14.0,,,(c)
77,1.1.14 (d),(d) Brake drum back plate insecure,Major,Brakes,1,Condition and operation,1,Brake discs and drums,14.0,,,(d)
78,1.1.15 (a),(a) Cable damaged or knotted,Major,Brakes,1,Condition and operation,1,"Brake cables, rods, levers and linkages",15.0,,,(a)
79,1.1.15 (b),(b) Component excessively worn or corroded,Major,Brakes,1,Condition and operation,1,"Brake cables, rods, levers and linkages",15.0,,,(b)
80,1.1.15 (c),"(c) Cable, rod or joint insecure",Major,Brakes,1,Condition and operation,1,"Brake cables, rods, levers and linkages",15.0,,,(c)
81,1.1.15 (d),(d) Cable guide defective affecting operation,Major,Brakes,1,Condition and operation,1,"Brake cables, rods, levers and linkages",15.0,,,(d)
82,1.1.15 (e),(e) Restriction in free movement of the braking system,Major,Brakes,1,Condition and operation,1,"Brake cables, rods, levers and linkages",15.0,,,(e)
83,1.1.15 (f),(f) Abnormal movement of levers indicating maladjustment or excessive wear,Major,Brakes,1,Condition and operation,1,"Brake cables, rods, levers and linkages",15.0,,,(f)
84,1.1.16 (a) (i),(a) Actuator cracked or damaged and: (i) braking performance not affected,Major,Brakes,1,Condition and operation,1,"Brake actuators - including spring brakes, hydraulic cylinders and callipers",16.0,,,(a) (i)
85,1.1.16 (a) (ii),(a) Actuator cracked or damaged and: (ii) braking performance affected,Dangerous,Brakes,1,Condition and operation,1,"Brake actuators - including spring brakes, hydraulic cylinders and callipers",16.0,,,(a) (ii)
86,1.1.16 (b) (i),(b) Actuator leaking and: (i) braking performance not affected,Major,Brakes,1,Condition and operation,1,"Brake actuators - including spring brakes, hydraulic cylinders and callipers",16.0,,,(b) (i)
87,1.1.16 (b) (ii),(b) Actuator leaking and: (ii) braking performance affected,Dangerous,Brakes,1,Condition and operation,1,"Brake actuators - including spring brakes, hydraulic cylinders and callipers",16.0,,,(b) (ii)
88,1.1.16 (c) (i),(c) Actuator insecure or inadequately mounted and: (i) braking performance not affected,Major,Brakes,1,Condition and operation,1,"Brake actuators - including spring brakes, hydraulic cylinders and callipers",16.0,,,(c) (i)
89,1.1.16 (c) (ii),(c) Actuator insecure or inadequately mounted and: (ii) braking performance affected,Dangerous,Brakes,1,Condition and operation,1,"Brake actuators - including spring brakes, hydraulic cylinders and callipers",16.0,,,(c) (ii)
90,1.1.16 (d) (i),(d) Actuator: (i) excessively corroded,Major,Brakes,1,Condition and operation,1,"Brake actuators - including spring brakes, hydraulic cylinders and callipers",16.0,,,(d) (i)
91,1.1.16 (d) (ii),(d) Actuator: (ii) excessively corroded and likely to crack,Dangerous,Brakes,1,Condition and operation,1,"Brake actuators - including spring brakes, hydraulic cylinders and callipers",16.0,,,(d) (ii)
92,1.1.16 (e) (i),(e) Actuator has: (i) excessive travel of operating system indicating need for adjustment,Major,Brakes,1,Condition and operation,1,"Brake actuators - including spring brakes, hydraulic cylinders and callipers",16.0,,,(e) (i)
93,1.1.16 (e) (ii),(e) Actuator has: (ii) no reserve travel and braking performance affected,Dangerous,Brakes,1,Condition and operation,1,"Brake actuators - including spring brakes, hydraulic cylinders and callipers",16.0,,,(e) (ii)
94,1.1.17 (a),(a) Load sensing valve linkage defective,Major,Brakes,1,Condition and operation,1,Load sensing valve,17.0,,,(a)
95,1.1.17 (b),(b) Load sensing valve linkage obviously incorrectly adjusted,Major,Brakes,1,Condition and operation,1,Load sensing valve,17.0,,,(b)
96,1.1.17 (c) (i),(c) Load sensing valve seized or inoperative and: (i) ABS functioning,Major,Brakes,1,Condition and operation,1,Load sensing valve,17.0,,,(c) (i)
97,1.1.17 (c) (ii),(c) Load sensing valve seized or inoperative and: (ii) ABS not fitted or inoperative,Dangerous,Brakes,1,Condition and operation,1,Load sensing valve,17.0,,,(c) (ii)
98,1.1.17 (d),(d) Load sensing valve missing where fitted as standard,Dangerous,Brakes,1,Condition and operation,1,Load sensing valve,17.0,,,(d)
99,1.1.18 (a),"(a) Adjuster damaged, seized or having abnormal movement, excessive wear or incorrect adjustment",Major,Brakes,1,Condition and operation,1,Brake slack adjuster,18.0,,,(a)
100,1.1.18 (b),(b) Adjuster defective,Major,Brakes,1,Condition and operation,1,Brake slack adjuster,18.0,,,(b)
101,1.1.18 (c),(c) Incorrectly installed,Major,Brakes,1,Condition and operation,1,Brake slack adjuster,18.0,,,(c)
102,1.1.19 (a) (i),(a) Endurance braking system connectors or mountings: (i) insecure,Minor,Brakes,1,Condition and operation,1,"Additional braking device (retarder), if fitted",19.0,,,(a) (i)
103,1.1.19 (a) (ii),(a) Endurance braking system connectors or mountings: (ii) insecure and functionality affected,Major,Brakes,1,Condition and operation,1,"Additional braking device (retarder), if fitted",19.0,,,(a) (ii)
104,1.1.19 (b),(b) Endurance braking system obviously defective,Major,Brakes,1,Condition and operation,1,"Additional braking device (retarder), if fitted",19.0,,,(b)
105,1.1.21 (a) (i),"(a) Other braking system (e.g. antifreeze pump, air dryer etc.) component damaged or corroded: (i) to the extent that the braking system is adversely affected",Major,Brakes,1,Condition and operation,1,Complete braking system,21.0,,,(a) (i)
106,1.1.21 (a) (ii),"(a) Other braking system (e.g. antifreeze pump, air dryer etc.) component damaged or corroded: (ii) leaking and system functionality adversely affected",Dangerous,Brakes,1,Condition and operation,1,Complete braking system,21.0,,,(a) (ii)
107,1.1.21 (b) (i),(b) Air or antifreeze: (i) leaking,Minor,Brakes,1,Condition and operation,1,Complete braking system,21.0,,,(b) (i)
108,1.1.21 (b) (ii),(b) Air or antifreeze: (ii) to the extent that braking performance is affected,Major,Brakes,1,Condition and operation,1,Complete braking system,21.0,,,(b) (ii)
109,1.1.21 (c),(c) Any component insecure or inadequately mounted,Major,Brakes,1,Condition and operation,1,Complete braking system,21.0,,,(c)
110,1.1.21 (d) (i),(d) Braking system component modification: (i) unsafe,Major,Brakes,1,Condition and operation,1,Complete braking system,21.0,,,(d) (i)
111,1.1.21 (d) (ii),(d) Braking system component modification: (ii) adversely affecting braking performance,Dangerous,Brakes,1,Condition and operation,1,Complete braking system,21.0,,,(d) (ii)
112,1.1.21 (e) (i),(e) The strength or continuity of the load bearing structure within 30cm of any braking system actuation component mounting (a prescribed area): (i) is significantly reduced (see Appendix A),Major,Brakes,1,Condition and operation,1,Complete braking system,21.0,,,(e) (i)
113,1.1.21 (e) (ii),(e) The strength or continuity of the load bearing structure within 30cm of any braking system actuation component mounting (a prescribed area): (ii) is so weakened that the functionality of the braking system is affected,Dangerous,Brakes,1,Condition and operation,1,Complete braking system,21.0,,,(e) (ii)
114,1.2.1 (a) (i),(a) Braking effort: (i) inadequate at a wheel,Major,Brakes,1,Service brake performance and efficiency,2,Performance,1.0,,,(a) (i)
115,1.2.1 (a) (ii),(a) Braking effort: (ii) not recording at a wheel,Dangerous,Brakes,1,Service brake performance and efficiency,2,Performance,1.0,,,(a) (ii)
116,1.2.1 (b) (i),"(b) Brakes imbalance across an axle such that: (i) the braking effort from any wheel is less than 70% of the maximum effort recorded from the other wheel on the same axle. Or in the case of testing on the road, the vehicle deviates excessively from a straight line",Major,Brakes,1,Service brake performance and efficiency,2,Performance,1.0,,,(b) (i)
117,1.2.1 (b) (ii),(b) Brakes imbalance across an axle such that: (ii) the braking effort from any wheel is less than 50% of the maximum effort recorded from the other wheel on a steered axle,Dangerous,Brakes,1,Service brake performance and efficiency,2,Performance,1.0,,,(b) (ii)
118,1.2.1 (c),(c) A brake on any wheel grabbing severely,Major,Brakes,1,Service brake performance and efficiency,2,Performance,1.0,,,(c)
119,1.2.1 (d),(d) Abnormal lag in brake operation on a wheel,Major,Brakes,1,Service brake performance and efficiency,2,Performance,1.0,,,(d)
120,1.2.1 (e),(e) Excessive fluctuation in brake effort through each wheel revolution,Major,Brakes,1,Service brake performance and efficiency,2,Performance,1.0,,,(e)
121,1.2.1 (f),(f) Significant brake effort recorded with no brake applied indicating a binding brake,Major,Brakes,1,Service brake performance and efficiency,2,Performance,1.0,,,(f)
122,1.2.1 (g),(g) Brake performance unable to be tested,Major,Brakes,1,Service brake performance and efficiency,2,Performance,1.0,,,(g)
123,1.2.2 (a) (i),(a) Service brake efficiency: (i) below minimum requirement,Major,Brakes,1,Service brake performance and efficiency,2,Efficiency,2.0,,,(a) (i)
124,1.2.2 (a) (ii),(a) Service brake efficiency: (ii) less than 50% of the required value,Dangerous,Brakes,1,Service brake performance and efficiency,2,Efficiency,2.0,,,(a) (ii)
125,1.3.1 (a) (i),(a) Braking effort: (i) inadequate at any wheel,Major,Brakes,1,Secondary brake performance and efficiency,3,Performance,1.0,,,(a) (i)
126,1.3.1 (a) (ii),(a) Braking effort: (ii) not recording at any wheel,Dangerous,Brakes,1,Secondary brake performance and efficiency,3,Performance,1.0,,,(a) (ii)
127,1.3.1 (b) (i),"(b) Brakes imbalance across an axle such that: (i) the braking effort from any wheel is less than 70% of the maximum effort recorded from the other wheel on the same axle. Or in the case of testing on the road, the vehicle deviates excessively from a straight line.",Major,Brakes,1,Secondary brake performance and efficiency,3,Performance,1.0,,,(b) (i)
128,1.3.1 (b) (ii),(b) Brakes imbalance across an axle such that: (ii) the braking effort from any wheel is less than 50% of the maximum effort recorded from the other wheel on a steered axle,Dangerous,Brakes,1,Secondary brake performance and efficiency,3,Performance,1.0,,,(b) (ii)
129,1.3.1 (c),(c) A brake on any wheel grabbing severely,Major,Brakes,1,Secondary brake performance and efficiency,3,Performance,1.0,,,(c)
130,1.3.2 (a) (i),(a) Parking brake efficiency: (i) below minimum requirement,Major,Brakes,1,Secondary brake performance and efficiency,3,Efficiency,2.0,,,(a) (i)
131,1.3.2 (a) (ii),(a) Parking brake efficiency: (ii) less than 50% of the required value,Dangerous,Brakes,1,Secondary brake performance and efficiency,3,Efficiency,2.0,,,(a) (ii)
132,1.4.1 (a),"(a) Parking brake inoperative on one side, or in the case of testing on the road, the vehicle deviates excessively from a straight line",Major,Brakes,1,Parking brake performance and efficiency,4,Performance,1.0,,,(a)
133,1.4.2 (a) (i),(a) Parking brake efficiency: (i) below minimum requirement,Major,Brakes,1,Parking brake performance and efficiency,4,Efficiency,2.0,,,(a) (i)
134,1.4.2 (a) (ii),(a) Parking brake efficiency: (ii) less than 50% of the required value,Dangerous,Brakes,1,Parking brake performance and efficiency,4,Efficiency,2.0,,,(a) (ii)
135,1.5 (a),(a) Control for electronic retarder does not allow gradual variation in effort,Major,Brakes,1,Additional braking device (retarder) performance,5,,,,,(a)
136,1.5 (b),(b) System obviously inoperative,Major,Brakes,1,Additional braking device (retarder) performance,5,,,,,(b)
137,1.6 (a),(a) Warning device not working,Major,Brakes,1,Anti-lock braking system (ABS),6,,,,,(a)
138,1.6 (b),(b) Warning device shows system malfunction,Major,Brakes,1,Anti-lock braking system (ABS),6,,,,,(b)
139,1.6 (c),(c) Wheel speed sensors missing or damaged,Major,Brakes,1,Anti-lock braking system (ABS),6,,,,,(c)
140,1.6 (d),(d) Wiring damaged,Major,Brakes,1,Anti-lock braking system (ABS),6,,,,,(d)
141,1.6 (e),(e) Other components missing or damaged,Major,Brakes,1,Anti-lock braking system (ABS),6,,,,,(e)
142,1.6 (f),(f) ABS system obviously removed,Major,Brakes,1,Anti-lock braking system (ABS),6,,,,,(f)
143,1.7 (a),(a) Warning device not working,Major,Brakes,1,Electronic braking system (EBS),7,,,,,(a)
144,1.7 (b),(b) Warning device shows system malfunction,Major,Brakes,1,Electronic braking system (EBS),7,,,,,(b)
145,1.8 (a),(a) Brake fluid contaminated,Major,Brakes,1,Brake fluid,8,,,,,(a)
146,2.1.1 (a),(a) Excessive roughness in operation of steering,Major,Steering,2,Mechanical condition,1,Steering gear condition,1.0,,,(a)
147,2.1.1 (b) (i),(b) Sector shaft: (i) twisted or splines excessively worn,Major,Steering,2,Mechanical condition,1,Steering gear condition,1.0,,,(b) (i)
148,2.1.1 (b) (ii),(b) Sector shaft: (ii) twisted or splines worn to the extent that functionality is affected,Dangerous,Steering,2,Mechanical condition,1,Steering gear condition,1.0,,,(b) (ii)
149,2.1.1 (c) (i),(c) Sector shaft: (i) excessively worn,Major,Steering,2,Mechanical condition,1,Steering gear condition,1.0,,,(c) (i)
150,2.1.1 (c) (ii),(c) Sector shaft: (ii) worn to the extent that functionality is affected,Dangerous,Steering,2,Mechanical condition,1,Steering gear condition,1.0,,,(c) (ii)
151,2.1.1 (d) (i),(d) Sector shaft: (i) has excessive movement,Major,Steering,2,Mechanical condition,1,Steering gear condition,1.0,,,(d) (i)
152,2.1.1 (d) (ii),(d) Sector shaft: (ii) movement so excessive that functionality is affected,Dangerous,Steering,2,Mechanical condition,1,Steering gear condition,1.0,,,(d) (ii)
153,2.1.1 (e) (i),(e) Steering box: (i) leaking oil,Minor,Steering,2,Mechanical condition,1,Steering gear condition,1.0,,,(e) (i)
154,2.1.1 (e) (ii),(e) Steering box: (ii) leaking to the extent that oil is dripping,Major,Steering,2,Mechanical condition,1,Steering gear condition,1.0,,,(e) (ii)
155,2.1.2 (a) (i),(a) Steering gear casing: (i) not properly attached,Major,Steering,2,Mechanical condition,1,Steering gear security,2.0,,,(a) (i)
156,2.1.2 (a) (ii),(a) Steering gear casing: (ii) retaining devices dangerously loose or relative movement to chassis/bodywork visible,Dangerous,Steering,2,Mechanical condition,1,Steering gear security,2.0,,,(a) (ii)
157,2.1.2 (b) (i),(b) Steering gear casing fixing holes in chassis: (i) elongated,Major,Steering,2,Mechanical condition,1,Steering gear security,2.0,,,(b) (i)
158,2.1.2 (b) (ii),(b) Steering gear casing fixing holes in chassis: (ii) elongated to the extent that attachment is seriously affected,Dangerous,Steering,2,Mechanical condition,1,Steering gear security,2.0,,,(b) (ii)
159,2.1.2 (c) (i),(c) Steering gear fixing bolts: (i) missing or ineffective,Major,Steering,2,Mechanical condition,1,Steering gear security,2.0,,,(c) (i)
160,2.1.2 (c) (ii),(c) Steering gear fixing bolts: (ii) missing or ineffective to the extent that attachment is seriously affected,Dangerous,Steering,2,Mechanical condition,1,Steering gear security,2.0,,,(c) (ii)
161,2.1.2 (d) (i),(d) Steering gear casing: (i) fractured,Major,Steering,2,Mechanical condition,1,Steering gear security,2.0,,,(d) (i)
162,2.1.2 (d) (ii),(d) Steering gear casing: (ii) fractured and stability or attachment of casing affected,Dangerous,Steering,2,Mechanical condition,1,Steering gear security,2.0,,,(d) (ii)
163,2.1.2 (e) (i),(e) The strength or continuity of the load bearing structure within 30cm of any steering component mounting (a ‘prescribed area’): (i) is significantly reduced or inadequately repaired,Major,Steering,2,Mechanical condition,1,Steering gear security,2.0,,,(e) (i)
164,2.1.2 (e) (ii),(e) The strength or continuity of the load bearing structure within 30cm of any steering component mounting (a ‘prescribed area’): (ii) is so weakened that control of the vehicle is likely to be adversely affected,Dangerous,Steering,2,Mechanical condition,1,Steering gear security,2.0,,,(e) (ii)
165,2.1.3 (a) (i),(a) A steering linkage component with: (i) relative movement between components which should be fixed,Major,Steering,2,Mechanical condition,1,Steering linkage condition,3.0,,,(a) (i)
166,2.1.3 (a) (ii),(a) A steering linkage component with: (ii) excessive movement between components or likely to become detached,Dangerous,Steering,2,Mechanical condition,1,Steering linkage condition,3.0,,,(a) (ii)
167,2.1.3 (b) (i),(b) A steering ball joint: (i) with excessive wear or free play,Major,Steering,2,Mechanical condition,1,Steering linkage condition,3.0,,,(b) (i)
168,2.1.3 (b) (ii),(b) A steering ball joint: (ii) worn to the extent there is a serious risk of detachment,Dangerous,Steering,2,Mechanical condition,1,Steering linkage condition,3.0,,,(b) (ii)
